Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Renato,android,browseTitles,,,2022-01-09 22:02:05
Renato,android,browseTitles,,,2022-01-09 21:59:19
Renato,android,playback,,,2022-01-09 21:59:19
Renato,android,browseTitles,,,2022-01-09 21:59:06
Renato,android,playback,,,2022-01-09 21:59:06
Renato,android,profilesGate,,,2022-01-09 21:58:47
Renato,android,browseTitles,,,2022-01-09 21:58:47
Renato,android,browseTitles,,,2022-01-09 21:58:47
Renato,android,browseTitles,,,2022-01-09 21:58:47
Renato,android,browseTitles,,,2022-01-09 21:55:19
Renato,android,playback,,,2022-01-09 21:55:19
Renato,android,playback,,,2022-01-09 21:55:09
Renato,android,browseTitles,,,2022-01-09 21:55:08
Renato,android,browseTitles,,,2022-01-09 08:53:29
Renato,android,comedyFeedTab,,,2022-01-09 08:53:29
Renato,android,browseTitles,,,2022-01-09 08:53:28
Renato,android,search,,,2022-01-09 08:53:28
Renato,android,search,,,2022-01-09 08:53:25
Renato,android,playback,,,2022-01-09 08:53:25
Renato,android,playback,,,2022-01-09 06:46:22
Renato,android,playback,,,2022-01-09 04:53:49
Renato,android,search,,,2022-01-09 04:53:48
Renato,android,playback,,,2022-01-09 04:51:52
Renato,android,playback,,,2022-01-09 04:51:52
Renato,android,playback,,,2022-01-09 04:51:52
Renato,android,playback,,,2022-01-09 04:51:52
Renato,android,playback,,,2022-01-09 02:37:41
Renato,android,search,,,2022-01-09 02:37:40
Renato,android,search,,,2022-01-09 02:37:24
Renato,android,browseTitles,,,2022-01-09 02:37:23
Renato,android,comedyFeedTab,,,2022-01-09 02:37:22
Renato,android,browseTitles,,,2022-01-09 02:37:22
Renato,android,browseTitles,,,2022-01-09 02:37:12
Renato,android,comedyFeedTab,,,2022-01-09 02:37:12
Renato,android,browseTitles,,,2022-01-09 02:37:05
Renato,android,search,,,2022-01-09 02:37:05
Renato,android,browseTitles,,,2022-01-09 02:37:03
Renato,android,search,,,2022-01-09 02:37:03
Renato,android,browseTitles,,,2022-01-09 02:36:49
Renato,android,search,,,2022-01-09 02:36:49
Renato,android,movieDetails,,,2022-01-09 02:36:40
Renato,android,search,,,2022-01-09 02:36:40
Renato,android,search,,,2022-01-09 02:35:34
Renato,android,movieDetails,,,2022-01-09 02:35:34
